Country,2018,2014,2010,2006,2002,1998,1994,1990,1986,1982,1978,1974,1970,1966,1962,1958,1954,1950,1938,1934,1930
England,45,58,37,36,53,36,30,46,52,38,27,28,27,33,28,29,23,19,15,25,29
Australia,80,49,74,84,81,79,87,52,40,39,24,29,36,23,38,27,20,34,25,3,8
Canada,15,32,26,26,31,30,40,35,51,26,45,25,18,14,4,1,9,8,13,20,15
Scotland,9,19,9,11,6,3,6,5,3,8,3,3,6,1,4,5,6,5,0,2,5
India,26,15,39,22,30,7,6,13,0,5,5,4,5,3,0,2,0,0,0,0,0
New Zealand,15,14,6,6,11,8,5,17,8,5,5,9,2,8,10,4,7,10,5,3,1
South Africa,13,13,12,12,9,9,2,0,0,0,0,0,0,0,0,13,16,8,10,6,7
Nigeria,9,11,11,4,5,0,11,5,0,5,0,3,2,3,0,0,1,0,0,0,0
Kenya,4,10,12,6,4,7,7,6,0,4,7,7,5,4,2,0,0,0,0,0,0
Jamaica,7,10,2,10,4,4,2,2,0,2,2,2,4,0,3,4,1,0,0,0,0
Singapore,5,8,10,5,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Malaysia,7,6,12,7,7,10,2,2,0,1,1,1,1,2,0,0,0,0,0,0,0
Wales,10,5,3,3,6,3,5,10,6,4,2,1,2,3,0,1,1,0,2,0,0
Cyprus,8,2,4,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,1,2,3,0,2,2,5,1,2,0,2,3,3,1,0,1,2,0,0,0,0
Papua New Guinea,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,3,1,2,2,0,0,0,2,0,0,0,2,3,0,1,0,0,0,0,0,0
Grenada,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0
Pakistan,1,0,2,1,1,0,0,0,0,0,0,0,4,4,8,3,1,0,0,0,0
Samoa,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,1,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Namibia,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Zambia,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,2,0,1,0,0,0,0,1,1,2,5,3,0,0,0,0,0,0
Fiji,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Barbados,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts & Nevis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent & The Grenadines,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks & Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jersey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0
South Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarawak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newfoundland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
